tocr_id,tocr_name,articles,current,suggested,from_cdosgame,from_famitsu,sources,source_ids,unknown,risk,shared_with
cmtpker7q022404jvi8dhuvv4,人面蛾,2,DOS,DOS,DOS,,cdg-1559,cdg-1559,,,
cmtpkznc006p804jvj7c7eszz,人類也瘋狂,1,DOS,DOS,DOS,,cdg-1560,cdg-1560,,,
cmtpk5w6y015v04jvww21z475,仗義遊俠 II,1,,DOS,DOS,,cdg-4633,cdg-4633,,靠別名對上,
cmtpkoldf03vh04jvqqut1rtc,仙劍奇俠傳,8,DOS、WIN、SS,DOS、WIN、SS,DOS、WIN、SS,,cdg-1564,cdg-1564,,,
cmtpn8s8201qm04l6uf7gzbow,仙劍奇俠傳2,3,,WIN,WIN,,cdg-1565,cdg-1565,,來源同時給了別筆(1),仙劍奇俠傳二
cmtpnhyev03gc04l6efzv3xtx,仙劍奇俠傳3,3,,WIN,WIN,,cdg-1566,cdg-1566,,來源同時給了別筆(1),仙劍奇俠傳三
cmtpn9mtn01yn04l6sfnlnr1x,仙劍奇俠傳三,8,,WIN,WIN,,cdg-1566,cdg-1566,,靠別名對上、來源同時給了別筆(1),仙劍奇俠傳3
cmtpnrsv605f804l6ogeaqckw,仙劍奇俠傳三外傳問情篇,3,,WIN,WIN,,cdg-1567,cdg-1567,,靠別名對上,
cmtpnc6jr028z04l6thmxhwl5,仙劍奇俠傳二,7,,WIN,WIN,,cdg-1565,cdg-1565,,靠別名對上、來源同時給了別筆(1),仙劍奇俠傳2
cmu097lqh003004l7mk5sj32c,仙境傳說 奧德賽,1,,PSV,,PSV,VOL.369 VOL.370,索引:仙境傳說奧德賽,,,
cmtzt5e06001o0agmc091h2mk,仙境傳說 ～光與暗的公主～,1,,PSP,,PSP,VOL.336,索引:仙境傳說光與暗的公主,,,
cmsvpx5a2001204ldnpuy40rs,仙境故事,3,DOS,DOS,DOS,,cdg-3984,cdg-3984,,,
cmtplsx2o0e0j04jvrlvioz73,仙狐奇緣,5,WIN,WIN,WIN,,cdg-1571,cdg-1571,,,
cmswuudso000l04l4pdiof632,代碼：冰人,2,,DOS,DOS,,cdg-1574,cdg-1574,,來源同時給了別筆(1),CODENAME: ICEMAN
cmtxe43d3003q0agm092stphn,任天堂明星大亂鬥X,2,,WII,,WII,VOL.181 VOL.184,索引:任天堂明星大亂鬥x,,,
cmtplm0ph0cdd04jv33lx8n8x,伊卡斯特傳說,1,DOS,DOS,DOS,,cdg-1584,cdg-1584,,,
cmtpkfrbi02c404jvsweyh4xz,伊忍道,2,DOS,DOS,DOS,,cdg-1586,cdg-1586,,,
cmtpk4xbt00zp04jvqc0zoom3,伊甸園守護神,1,DOS,DOS,DOS,,cdg-4630,cdg-4630,,,
cmtplcvvu0a3n04jvmw0zn366,伊甸風暴,1,DOS,DOS,DOS,,cdg-1588,cdg-1588,,,
cmswqdm8u00c104l6v2yjifu0,伊蘇國,3,,DOS,DOS,,cdg-1592,cdg-1592,,來源同時給了別筆(1),Ancient Land of Ys
cmtztlpan006604l58hpaey3z,來世因緣 後續回憶,1,,PSP,,PSP,VOL.324,索引:來世因緣後續回憶,,,
cmtzt4qhd004n0agmr7gnu9eb,侍道4,3,,PS3,,PS3,VOL.321 VOL.326 VOL.328 VOL.329 VOL.330 VOL.331,索引:侍道4,,,
cmtplq3hz0dbg04jvbichq232,便利商店,1,WIN,WIN,WIN,,cdg-1601,cdg-1601,,,
cmtpltygr0e5y04jvptyyk09t,便利商店2,1,WIN,WIN,WIN,,cdg-1602,cdg-1602,,,
cmtxe41zm001h0agmoedslqjy,便利商店DS 經營力訓練,1,,NDS,,NDS,VOL.193,索引:便利商店ds經營力訓練,,,
cmsyq9fiw003a04jnit11t270,俄式遊戲集錦,1,DOS,DOS,DOS,,cdg-4756,cdg-4756,,,
cmtple54z0aab04jv5jnhf9jc,俠客新傳,4,WIN,WIN,WIN,,cdg-1616,cdg-1616,,,
cmta8xkw7002104l61ne3ppft,俠客英雄傳,4,DOS,DOS,DOS,,cdg-1617,cdg-1617,,,
cmtpknfbu03g804jvwuams3cu,俠客英雄傳 3,7,DOS,DOS,DOS,,cdg-1618,cdg-1618,,,
cmtpkxds8064a04jvv07i0krc,俠客遊,2,,DOS,DOS,,cdg-1620,cdg-1620,,來源同時給了別筆(1),LUNATIC DAWN II
cmtple53s0aa404jvv5glzorx,俠客遊～未來之書,3,WIN,WIN,WIN,,cdg-1624,cdg-1624,,,
cmt1mvajb008004juolt6ly5l,俠影記,7,DOS,DOS,DOS,,cdg-1628,cdg-1628,,,
cmtzt63np00ex0agmbjgm5fpp,俠盜獵車手V,1,,PS3、X360,,PS3、X360,VOL.412,索引:俠盜獵車手v,,,
cmt1hzs30001204ldn9rgo25t,俠盜羅賓漢,8,DOS,DOS,DOS,,cdg-3975,cdg-3975,,,
cmtplbllw09r404jvlg6qly6w,俠義豪情傳～禁煙風雲,1,,DOS,DOS,,cdg-1635,cdg-1635,,靠別名對上,
cmsvn87h7005k04l84y34whaj,信長之野望,8,DOS,DOS,DOS,,cdg-1637,cdg-1637,,,
cmtpkr68004l404jva2akmqpw,倉庫番,1,,DOS,DOS,,cdg-1653 cdg-1654,cdg-1653 cdg-1654,,靠別名對上、對到多個來源條目,
cmtpk5w4t015a04jvxtda0pzi,倚天屠龍記,9,DOS,DOS,DOS,,cdg-1656,cdg-1656,,,
cmtztlubw00080agmr0cqynsi,假面騎士全集合 騎士世代,1,,NDS,,NDS,VOL.337,索引:假面騎士全集合騎士世代,,,
cmtzt5yaj00c10agm47ukp9ai,偵探 神宮寺三郎 復仇圓舞曲,2,,3DS,,3DS,VOL.380 VOL.385,索引:偵探神宮寺三郎復仇圓舞曲,,,
cmtzt52l700aw0agmlm1y2xfj,偶像大師2,3,,X360、PS3,,X360、PS3,VOL.316 VOL.321 VOL.324 VOL.326 VOL.327 VOL.328 VOL.329 VOL.330 VOL.348,索引:偶像大師2,,,
cmtztlz8800230agmu1bx64h0,偶像活動 灰姑娘課程,1,,3DS,,3DS,VOL.407,索引:偶像活動灰姑娘課程,,,
cmtpkqei304b304jvasmly2hb,傀儡英雄,3,DOS,DOS,DOS,,cdg-5344,cdg-5344,,,
cmta06a4v001o04jr1wat4448,傑克大師高爾夫,4,DOS,DOS,DOS,,cdg-4618,cdg-4618,,,
cmtplx9ws0exm04jvp2ovj0ot,傲世三國,1,WIN,WIN,WIN,,cdg-5374,cdg-5374,,,
