bucket,cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,years,tocr_platforms,status,decision
B 一中一西,cdg-3872,蠟像館之謎,1992,DOS,1,cmtpjz2ld002404jv4u7owc2g,Waxworks,1,1993–1993,,要判,
B 一中一西,cdg-3890,忍,1989,DOS,2,cmsvud7vh001404l6r2gqi4jf,忍,2,1989–1990,,要判,
B 一中一西,cdg-3890,忍,1989,DOS,2,cmsvud7vo001604l6oq9kbdsc,SHINOBI,1,1989–1989,,要判,
B 一中一西,cdg-3894,紗之器,1990,DOS,1,cmswuudvg001304l4snuiqyev,紗之器,2,1990–1990,,要判,
B 一中一西,cdg-3894,紗之器,1990,DOS,1,cmswuudvp001404l4p35ctmzt,LOOM,1,1990–1990,,要判,
B 一中一西,cdg-3916,囂張拳王,1991,DOS,1,cmt1hzs0x000l04ldq22771n8,囂張拳王,4,1992–1992,,要判,
B 一中一西,cdg-3916,囂張拳王,1991,DOS,1,cmsysv1mj000t04jovztewjnn,4D Boxing,3,1991–1992,,要判,
B 一中一西,cdg-3944,北與南,1989,DOS,2,cmswq0tbg006v04l63vkc2e6x,北與南,2,1990–1998,,要判,
B 一中一西,cdg-3944,北與南,1989,DOS,2,cmsxqcbut007404l4citg7ydd,North & South,1,1990–1990,,要判,
B 一中一西,cdg-3946,炮艇,1990,DOS,2,cmsx2undp000804ld6ne8af6j,GUN BOAT,1,1990–1990,,要判,
B 一中一西,cdg-3946,炮艇,1990,DOS,2,cmsx2undi000704ldd4i47i55,砲艇,1,1990–1990,,要判,
B 一中一西,cdg-3950,猛鬼逛街,1989,DOS,2,cmsvud7ux000x04l6dqnbdagc,猛鬼逛街,4,1989–1990,,要判,
B 一中一西,cdg-3950,猛鬼逛街,1989,DOS,2,cmsvud7v3000z04l6813huwg2,A NIGHTMARE ON ELM STREET,1,1989–1989,,要判,
B 一中一西,cdg-3951,激戰M星雲,1990,DOS,2,cmsybektu001f04jvycwn7y4z,激戰M星雲,1,1990–1990,,要判,
B 一中一西,cdg-3951,激戰M星雲,1990,DOS,2,cmsxqcbpm005n04l4ouh2r17h,Star Control,1,1990–1990,,要判,
B 一中一西,cdg-3953,烏龍吸血鬼,1988,DOS,2,cmsyqgoxm00cn04jnn2dyfftm,烏龍吸血鬼,1,1991–1991,,要判,
B 一中一西,cdg-3953,烏龍吸血鬼,1988,DOS,2,cmsylwgqy005204jimlrsyn42,Night Hunter,1,1991–1991,,要判,
B 一中一西,cdg-3959,瑪麗姊妹,1992,DOS,2,cmta7yv0s001e04kz8r7v54jv,瑪麗姊妹,1,1993–1993,,要判,
B 一中一西,cdg-3959,瑪麗姊妹,1992,DOS,2,cmta1ag3k004104jw7ka8qlxp,瑪麗姐妹,1,1992–1992,,要判,
B 一中一西,cdg-3959,瑪麗姊妹,1992,DOS,2,cmta7yv10001f04kzggi0mc1h,Sister Mary,1,1993–1993,,要判,
