cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,tocr_platforms,status
cdg-3717,魔法彈珠檯,1985,DOS,2,,,,,站上沒有
cdg-3866,機動戰士,1985,DOS,5,cmsvo5yg5001604l8c5b39kbn,機動戰士,1,DOS,
cdg-3902,送報童,1985,DOS,2,,,,,站上沒有
cdg-3948,戰場之狼,1985,DOS,0,,,,,站上沒有
cdg-3958,鐵手戰神,1985,DOS,2,cmsvo5ygw001c04l8m2ykt552,鐵手戰神,1,DOS,
cdg-3967,黑神鍋,1985,DOS,1,,,,,站上沒有
cdg-3989,飛輪武士,1985,DOS,0,,,,,站上沒有
cdg-4199,肉搏大賽,1985,Apple II,2,,,,,站上沒有
cdg-4248,死亡潛航,1985,Apple II,1,,,,,站上沒有
cdg-4277,魔界村,1985,DOS,2,,,,,站上沒有
cdg-4386,忍者傳奇,1985,DOS,2,,,,,站上沒有
cdg-4520,如意集,1985,Apple II,25,,,,,站上沒有
cdg-4677,戰斧（Tomahawk）,1985,DOS,2,cmta8xkzz003904l626xtjte4,戰斧,1,,
cdg-4686,綠扁帽,1985,DOS,1,,,,,站上沒有
cdg-4782,富貴狗,1985,DOS,0,,,,,站上沒有
cdg-4788,高爾夫大賽,1985,DOS,1,,,,,站上沒有
cdg-4789,摔角大賽,1985,DOS,2,,,,,站上沒有
cdg-4791,星際大冒險,1985,DOS,2,,,,,站上沒有
cdg-4795,空手道,1985,DOS,0,,,,,站上沒有
cdg-4803,夏季運動會2,1985,DOS,4,,,,,站上沒有
cdg-4804,冬季運動會,1985,Apple II、DOS,7,,,,,站上沒有
cdg-4941,入侵者,1985,DOS,1,cmtpletdk0amz04jvkhl716xd,入侵者,1,,
cdg-4949,忍者秘術,1985,Apple II,1,,,,,站上沒有
cdg-4956,突擊傅雷特勒,1985,Apple II,1,,,,,站上沒有
cdg-4961,浩劫前夕,1985,Apple II,1,,,,,站上沒有
cdg-4965,異星征服者,1985,Apple II,1,,,,,站上沒有
cdg-4967,第五度空間,1985,Apple II,1,,,,,站上沒有
cdg-4968,惡夢成真,1985,DOS,2,,,,,站上沒有
cdg-4969,超級玉石陣,1985,Apple II,1,,,,,站上沒有
cdg-4973,愛麗絲夢遊記,1985,Apple II,3,,,,,站上沒有
cdg-4979,電球爭霸戰,1985,Apple II,1,,,,,站上沒有
cdg-4984,蒙面俠,1985,Apple II,1,,,,,站上沒有
cdg-4993,魔殿三部曲,1985,Apple II,1,,,,,站上沒有
cdg-5045,全能戰鬥機,1985,DOS,2,,,,,站上沒有
cdg-5046,星際大戰（Space War）,1985,DOS,4,cmsve5jgm001p04kz21df5569,星際大戰,1,,
cdg-5303,哈雷計畫,1985,Apple II,8,,,,,站上沒有
cdg-1045,國王密使3：魔法生死門,1986,DOS,2,,,,,站上沒有
cdg-1098,巫師神冠,1986,Apple II,2,,,,,站上沒有
cdg-1265,漁歌麻將,1986,DOS,2,,,,,站上沒有
cdg-1614,保皇騎士,1986,DOS,3,,,,,站上沒有
cdg-1840,神戒傳奇,1986,DOS,3,,,,,站上沒有
cdg-2779,瘋狂大家樂,1986,DOS,2,,,,,站上沒有
cdg-2963,創世紀：黑暗時代,1986,DOS,5,,,,,站上沒有
cdg-3038,拱豬（1986）,1986,DOS,1,cmta8xkzd003104l6c8qd9tha,拱豬,1,,
cdg-3112,極地之狐,1986,DOS,4,,,,,站上沒有
cdg-3168,標準台灣麻將,1986,DOS,2,,,,,站上沒有
cdg-3611,鑽石迷宮,1986,DOS,3,,,,,站上沒有
cdg-3725,魔法門：內殿的秘密,1986,Apple II、DOS,5,cmsvpbm9u001s04jvn8plx0h3,魔法門,3,,
cdg-3912,無敵飛狼,1986,DOS,2,,,,,站上沒有
cdg-3956,核能戰士,1986,DOS,2,,,,,站上沒有
cdg-3962,怒,1986,DOS,2,,,,,站上沒有
cdg-4038,台灣麻將（黃文塘）,1986,DOS,0,,,,,站上沒有
cdg-4178,宇宙傳奇：大戰沙崙人,1986,DOS,2,,,,,站上沒有
cdg-4237,星際航艦,1986,DOS,4,,,,,站上沒有
cdg-4257,瘋狂大毀滅,1986,DOS,2,,,,,站上沒有
cdg-4364,古堡之宴,1986,DOS,2,,,,,站上沒有
cdg-4416,眼鏡蛇計劃,1986,DOS,2,,,,,站上沒有
cdg-4669,雷虎特攻隊,1986,DOS,0,,,,,站上沒有
cdg-4672,核子防衛戰,1986,DOS,4,,,,,站上沒有
cdg-4675,鬥之輓歌,1986,DOS,2,,,,,站上沒有
cdg-4674,惡魔城（Dark Castle）,1986,DOS,2,,,,,站上沒有
cdg-4679,忍者大對決,1986,DOS,2,,,,,站上沒有
cdg-4680,機器蜘蛛,1986,DOS,2,,,,,站上沒有
cdg-4684,深太空,1986,DOS,2,,,,,站上沒有
cdg-4692,怒2：怒號層圈,1986,DOS,2,,,,,站上沒有
cdg-4694,潛艇大作戰,1986,DOS,0,,,,,站上沒有
cdg-4784,飛狼突擊,1986,DOS,4,cmtpletdk0amz04jvkhl716xd,入侵者,1,,
cdg-4787,棋狂2000,1986,DOS,0,,,,,站上沒有
cdg-4792,強棒出擊（Pure-Stat Baseball）,1986,DOS,2,,,,,站上沒有
cdg-4793,橄欖球風雲,1986,DOS,2,,,,,站上沒有
cdg-4794,棒棒開花,1986,DOS,2,,,,,站上沒有
cdg-4796,金牌高爾夫,1986,DOS,2,,,,,站上沒有
cdg-4797,無敵戰艦,1986,DOS,2,,,,,站上沒有
cdg-4798,衝出異次元,1986,DOS,2,,,,,站上沒有
cdg-4799,星球保護神,1986,DOS,0,,,,,站上沒有
cdg-4800,籃球爭霸戰,1986,DOS,2,,,,,站上沒有
cdg-4801,緊急追緝令,1986,DOS,0,,,,,站上沒有
cdg-4802,職業保齡球,1986,DOS,0,,,,,站上沒有
cdg-4805,世界運動會,1986,DOS,4,,,,,站上沒有
cdg-4809,侵略者,1986,DOS,1,,,,,站上沒有
cdg-4810,上海,1986,DOS,0,cmtpkp9u403yt04jvet2z3l8e,上海,2,DOS,
cdg-4811,霹靂神槍,1986,DOS,0,,,,,站上沒有
cdg-4939,21世紀公路戰,1986,Apple II、DOS,3,,,,,站上沒有
cdg-4940,601中隊,1986,DOS,2,,,,,站上沒有
cdg-4942,世界空手道錦標賽,1986,DOS,3,,,,,站上沒有
cdg-4951,帝魔之怒,1986,Apple II,2,,,,,站上沒有
cdg-4954,明星杯籃球賽,1986,DOS,2,,,,,站上沒有
cdg-4955,春之石,1986,Apple II,6,,,,,站上沒有
cdg-4957,美式帆船大賽,1986,Apple II,1,,,,,站上沒有
cdg-4958,飛行坦克,1986,Apple II,3,,,,,站上沒有
cdg-4970,黑魔城,1986,DOS,2,,,,,站上沒有
cdg-4981,綠寶石勇士2,1986,Apple II,2,,,,,站上沒有
cdg-4983,戰魔,1986,Apple II、DOS,2,,,,,站上沒有
cdg-4987,潛艇任務,1986,Apple II,2,,,,,站上沒有
cdg-5073,棋王,1986,DOS,0,,,,,站上沒有
cdg-5346,雙龍麻將,1986,DOS,0,,,,,站上沒有
cdg-5366,時間之旅,1986,Apple II,1,,,,,站上沒有
cdg-0006,台灣麻將（陳精誠）,1987,DOS,2,,,,,站上沒有
cdg-0399,大海盜,1987,DOS,6,,,,,站上沒有
cdg-0578,幻想空間,1987,DOS,3,cmsumhmqu000o04jolrhm5qum,幻想空間,2,DOS,
cdg-0606,幽靈戰士3：魔神之怒,1987,DOS,6,cmsvv0lrh001p04jr20um6xer,魔神之吼,1,,
cdg-0962,名車大賽,1987,DOS,3,,,,,站上沒有
cdg-1102,巫術4：瓦德納的復仇,1987,DOS,3,,,,,站上沒有
cdg-1541,飛狼突擊2,1987,DOS,2,,,,,站上沒有
cdg-1967,雙截龍,1987,DOS,3,cmsu91jft000j04l55ysvg512,雙截龍,4,DOS,
cdg-2146,象棋大師,1987,DOS,2,,,,,站上沒有
cdg-2215,超級機車賽,1987,DOS,3,,,,,站上沒有
cdg-2253,跳跳車,1987,DOS,2,,,,,站上沒有
cdg-2780,瘋狂大賽車,1987,DOS,3,cmtpkwmly05wn04jvk0os698b,瘋狂大賽車,1,DOS,
cdg-2877,金撲克,1987,DOS,2,,,,,站上沒有
cdg-3046,捍衛雄鷹,1987,DOS,3,,,,,站上沒有
cdg-3347,賭王鬥千王,1987,DOS,3,,,,,站上沒有
cdg-3394,七海雄風,1987,DOS,4,,,,,站上沒有
cdg-3465,蒼狼與白鹿2：成吉思汗,1987,DOS,1,cmtb7senv000j04lar55hbedf,成吉思汗,3,,
cdg-3758,魔界歷險,1987,DOS,3,cmswuudul000x04l4549cl9ky,魔界歷險,6,,要判
cdg-3758,魔界歷險,1987,DOS,3,cmtplfdzw0ar304jvyir56s1z,魔域傳說,1,,要判
cdg-3758,魔界歷險,1987,DOS,3,cmswuudut000y04l4sh4mdmva,SORCERIAN,1,,要判
cdg-3834,龍魂,1987,DOS,4,,,,,站上沒有
cdg-3861,黑街風雲,1987,DOS,2,cmsvo5yph002k04l8zrmpdx5k,黑街風雲,1,DOS,
cdg-3868,警察故事,1987,DOS,0,cmt1mj8ws003504jum5bt3umq,警察故事,2,DOS,
cdg-3870,卡諾夫,1987,DOS,2,,,,,站上沒有
cdg-3871,空降遊騎兵,1987,DOS,0,,,,,站上沒有
cdg-3939,最後的忍者,1987,DOS,2,cmsvo5yn3001v04l8la7wh8ku,最後的忍者,1,DOS,
cdg-3949,三傻行大運,1987,DOS,0,,,,,站上沒有
cdg-3984,仙境故事,1987,DOS,3,cmsvpx5a2001204ldnpuy40rs,仙境故事,3,DOS,
cdg-4000,歐洲公路戰,1987,DOS,3,cmsvna24f009c04l8x4uvxs08,歐洲公路戰,1,DOS,
cdg-4015,天生好手,1987,DOS,2,cmsx2unq5002p04ld340qe9ds,天生好手,1,DOS,
cdg-4018,野外籃球,1987,DOS,2,,,,,站上沒有
cdg-4155,冰城傳奇,1987,Apple II、DOS,3,,,,,站上沒有
cdg-4180,宇宙傳奇2：渥豪的復仇,1987,DOS,4,,,,,站上沒有
cdg-4247,死亡之劍,1987,DOS,2,,,,,站上沒有
cdg-4256,瘋狂大樓,1987,DOS,1,cmsvo5yrs003e04l81hqsn1ts,瘋狂大樓,2,DOS,
cdg-4261,神奇王國,1987,DOS,1,cmsvn87kg006g04l87pyn3w0z,神奇王國,1,DOS,
cdg-4274,魔影之門,1987,DOS,4,,,,,站上沒有
cdg-4413,深入虎穴,1987,DOS,2,,,,,站上沒有
cdg-4529,星河戰士,1987,Apple II,0,,,,,站上沒有
cdg-4534,屠龍戰記（Dragon Odyssey）,1987,Apple II,0,cmtpl0fqu06wu04jvca2odzdg,屠龍戰記,1,,
cdg-4671,未來戰士,1987,DOS,2,,,,,站上沒有
cdg-4676,加州運動會,1987,DOS,2,cmsvo5yp7002g04l89y44355o,加州運動會,2,DOS,
cdg-4681,空中英雄,1987,DOS,2,,,,,站上沒有
cdg-4682,紅色十月號,1987,DOS,2,,,,,站上沒有
cdg-4683,打磚塊（Blockbuster）,1987,DOS,3,,,,,站上沒有
cdg-4685,海獵鷹戰鬥機,1987,DOS,2,cmsvomi9b004504jpsckx170d,海獵鷹戰鬥機,1,DOS,
cdg-4687,火狐狸2,1987,DOS,3,,,,,站上沒有
cdg-4688,銀河迷宮,1987,DOS,2,cmsvn87gr005g04l8s4c3aorn,銀河迷宮,1,DOS,
cdg-4689,風雲戰艦,1987,DOS,0,,,,,站上沒有
cdg-4693,銀河帝國大決戰,1987,DOS,2,,,,,站上沒有
cdg-4695,野外棒球,1987,DOS,0,cmsvo5yhi001g04l8n9ni1zlz,野外棒球,1,DOS,
cdg-4696,芝加哥教父,1987,DOS,0,,,,,站上沒有
cdg-4699,最後挑戰,1987,DOS,0,cmsvoibop000y04jpydj4d3sx,最後挑戰,1,DOS,
cdg-4700,阿波羅18號,1987,DOS,2,,,,,站上沒有
cdg-4701,坦克大對決,1987,DOS,0,cmsvoextc007l04l8rny95sj6,坦克大對決,4,DOS,
cdg-4706,火爆魚雷艇,1987,DOS,2,,,,,站上沒有
cdg-4712,迷你高爾夫,1987,DOS,0,cmsvn87e8004u04l86kdl0ata,迷你高爾夫,1,DOS,
cdg-4790,潛艇爭霸戰,1987,DOS,7,,,,,站上沒有
cdg-4807,立體直昇機,1987,DOS,0,,,,,站上沒有
cdg-4812,永恆之劍,1987,Apple II,2,,,,,站上沒有
cdg-4892,銀河超速戰機,1987,DOS,0,,,,,站上沒有
cdg-4893,砸牌警校軍,1987,DOS,0,,,,,站上沒有
cdg-4948,血型占星術,1987,DOS,2,,,,,站上沒有
cdg-4950,辛巴達歷險記,1987,DOS,1,,,,,站上沒有
cdg-4953,魔球,1987,DOS,0,,,,,站上沒有
cdg-4972,塔莫崙戰士,1987,Apple II,3,,,,,站上沒有
cdg-5083,懸疑快感,1987,,0,,,,,站上沒有
cdg-5342,象棋（1987）,1987,DOS,3,,,,,站上沒有
cdg-0030,4x4越野車大賽,1988,DOS,2,cmsvna23s009704l8yrj9a1wr,4 x 4 越野車大賽,1,DOS,
cdg-0080,GP大賽車,1988,DOS,0,cmsvn87fc005304l8rbt57gb9,GP大賽車,2,,要判
cdg-0080,GP大賽車,1988,DOS,0,cmswqdmg800dw04l6omtm0ve2,方程式賽車,1,,要判
cdg-0498,太空小蜜蜂（Better Dead Than Alien）,1988,DOS,2,cmsvuqx4r002w04ley72tsex2,太空小蜜蜂,1,,
cdg-0579,幻想空間2：尋找愛情,1988,DOS,3,,,,,站上沒有
cdg-0764,地心攔截,1988,DOS,0,cmsvn87de004m04l80wunva0v,地心攔截,3,DOS,
cdg-1046,國王密使4：蘿塞拉的冒險,1988,DOS,4,,,,,站上沒有
cdg-1103,巫術5：漩渦之心,1988,DOS,1,,,,,站上沒有
cdg-1162,決戰西洋棋（Battle Chess）,1988,DOS,3,cmsvn61tt001n04l8kw1afpb3,決戰西洋棋,2,,要判
cdg-1162,決戰西洋棋（Battle Chess）,1988,DOS,3,cmsvpx5gq002t04ld8a0iiorc,Battle Chess,1,,要判
cdg-1266,漢城奧運,1988,DOS,0,cmsumll6n007904jovnqxf9gk,漢城奧運會,1,,
cdg-1538,飛向北越,1988,DOS,2,cmsvn61of000b04l8i1j9v09f,飛向北越,1,DOS,
cdg-1607,俄羅斯方塊,1988,DOS,3,,,,,站上沒有
cdg-1638,信長之野望2：戰國群雄傳,1988,DOS,13,,,,,站上沒有
cdg-1679,光芒之池,1988,DOS,4,cmsvn61ur001v04l8wuthcmat,光芒之池,7,DOS,
cdg-1720,快打旋風（Street Fighter）,1988,DOS,3,cmsvv0lvk002m04jrnf5yoosh,快打旋風 (Street Fighter),1,,要判
cdg-1720,快打旋風（Street Fighter）,1988,DOS,3,cmsvn61qd000r04l8upsvd9gt,快打旋風,3,,要判
cdg-1724,快打磚塊,1988,DOS,3,cmsvn61px000n04l8pu0obgz9,快打磚塊,1,DOS,
cdg-1725,快打磚塊2,1988,DOS,3,,,,,站上沒有
cdg-1899,強棒再出擊,1988,DOS,2,cmsvn61sy001f04l8ixm9ut1z,強棒再出擊,2,DOS,
cdg-1918,毀滅戰士（Obliterator）,1988,DOS,3,cmsvpx58s000o04ldnqzmqbgs,毀滅戰士,5,,要判
cdg-1918,毀滅戰士（Obliterator）,1988,DOS,3,cmsvpx58z000q04ldgun6zvjs,Obliterator,1,,要判
cdg-1968,雙截龍2：復仇,1988,DOS,3,cmsvuqwtg000p04lesa83s82n,雙截龍 II,1,,要判
cdg-1968,雙截龍2：復仇,1988,DOS,3,cmsx2unnl002604ldqe5irny6,雙截龍II,2,,要判
cdg-2079,終極航艦,1988,DOS,5,,,,,站上沒有
cdg-2081,終極警探（Operation: Clean Streets）,1988,DOS,2,cmsvn61s2001704l8xm6s29lt,終極警探,6,,
cdg-2598,醫生也瘋狂,1988,DOS,3,cmsvoexzs008o04l8o0iqnokm,醫生也瘋狂,1,DOS,
cdg-2698,電腦跳棋專家,1988,DOS,1,,,,,站上沒有
cdg-2712,霹靂磚塊,1988,DOS,1,,,,,站上沒有
cdg-2718,霹靂飛車,1988,DOS,3,,,,,站上沒有
cdg-2824,虎膽妙算,1988,DOS,3,,,,,站上沒有
cdg-2967,創世紀5：命運鬥士,1988,DOS,6,,,,,站上沒有
cdg-3060,撞球大賽,1988,DOS,3,,,,,站上沒有
cdg-3158,槍林彈雨,1988,DOS,2,cmsybokci008504l2ehksh3eg,槍林彈雨,2,DOS,
cdg-3245,火戰車,1988,DOS,3,cmsvo5ybc000a04l8pcu4602k,火戰車,2,DOS,
cdg-3525,狂飆飛車手,1988,DOS,3,cmsvn61qs000v04l8k83fmvg1,狂飆飛車手,1,DOS,
cdg-3726,魔法門2：通往異世界之門,1988,DOS,4,cmsvoexk2005504l85lg1wnsi,魔法門 II,6,,
cdg-3762,魔眼小精靈,1988,DOS,1,cmsyq9fkm003g04jnn9z39x0z,魔眼小精靈,2,DOS,
cdg-3784,魔鬼戰警,1988,DOS,3,cmsvn61ml000204l882dszok0,魔鬼戰警,2,DOS,
cdg-3812,氙星異形,1988,DOS,2,cmtpkk6e9036d04jvcd0y3xmv,XENON,1,,要判
cdg-3812,氙星異形,1988,DOS,2,cmsx2uneb000d04ldrw5m06zf,氙星異形I,1,,要判
cdg-3927,異形大進擊,1988,DOS,2,cmsvna28o00af04l8ygimg77t,異形大進擊,3,DOS,
cdg-3945,前進高棉,1988,DOS,2,cmsvn87mo007104l86r45kq5o,前進高棉,4,DOS,
cdg-3953,烏龍吸血鬼,1988,DOS,2,cmsyqgoxm00cn04jnn2dyfftm,烏龍吸血鬼,1,,要判
cdg-3953,烏龍吸血鬼,1988,DOS,2,cmsylwgqy005204jimlrsyn42,Night Hunter,1,,要判
cdg-3968,黑暗金字塔,1988,DOS,2,cmsvoexjm005104l8t4t2jexp,黑暗金字塔,1,DOS,
cdg-3970,卡門聖地牙哥：歐洲篇,1988,DOS,0,,,,,站上沒有
cdg-3973,童話仙境,1988,DOS,2,cmtb4t95g000l04l7kxsczbid,童話仙境,1,DOS,
cdg-3982,炸彈小子,1988,DOS,3,cmswqdmjj00ep04l6ktuua52k,炸彈小子,13,DOS,
cdg-3986,預言奇兵,1988,DOS,2,cmsvoexkj005904l84ytk1k03,預言奇兵,7,DOS,
cdg-3987,冬之魔,1988,DOS,2,cmsvoexln005l04l89monlgp1,冬之魔,2,DOS,
cdg-3991,2400 A.D.,1988,DOS,3,,,,,站上沒有
cdg-3992,銀河超能力戰記,1988,,2,cmsybel4b003a04jvdfpckf9s,銀河超能力戰記,1,,要判
cdg-3992,銀河超能力戰記,1988,,2,cmtpki0ld02z104jvkvl8qqgp,カスタムメイト・2,5,,要判、名稱含假名
cdg-3993,未來之魔法,1988,DOS,1,cmsvn61zp002y04l8dl9a46zo,未來之魔法,4,DOS,
cdg-3999,鐵甲爭霸戰,1988,DOS,0,cmsvn61td001j04l8sj2a9mi6,鐵甲爭霸戰,5,DOS,
cdg-4005,魔界神兵2,1988,DOS,5,cmu84x7ek00np04ih42umxfkg,魔界神兵2,1,,要判
