cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,tocr_platforms,status
cdg-0209,三國志：風雲再起,1996,Windows,0,cmtpkwmlc05wh04jvxgjzz6jv,三國志風雲再起,2,,要判
cdg-0209,三國志：風雲再起,1996,Windows,0,cmsumhmxm002c04jovzwvrc8x,三國志,13,,要判
cdg-0225,三國志孔明傳,1996,Win3.1、Win9x,1,cmtpkwms905yi04jv5hxtafyk,三國志孔明傳,4,WIN,
cdg-3766,魔眼邪神,1996,DOS,1,,,,,站上沒有
cdg-4052,提督之決斷2,1996,,2,cmtpkqem504cg04jvmvdomn5e,提督的決斷II,3,,
cdg-0622,水滸傳2：天導一○八星,1997,Windows,0,,,,,站上沒有
cdg-1642,信長之野望7：將星錄,1997,Windows,0,,,,,站上沒有
cdg-4561,毛利元就傳,1997,Windows,0,cmtpl4ddy07zp04jvyu9b55r8,毛利元就－誓いの三矢,2,,名稱含假名
cdg-0215,三國志6,1998,Windows,2,cmtpl8p84094u04jvqkiaoezv,三國志 VI,4,,
cdg-0420,大航海時代2外傳,1998,Windows,0,,,,,站上沒有
cdg-3467,蒼狼與白鹿4：成吉思汗,1998,Windows,0,,,,,站上沒有
cdg-4559,三國志曹操傳,1998,Windows,0,cmtplgzvb0b8304jv6pgozs6y,三國志曹操傳,1,WIN,
cdg-4560,織田信長傳,1998,Windows,0,cmtple5e60acx04jvyhbdlfng,織田信長傳,4,WIN,
cdg-0422,大航海時代4,1999,Windows,0,cmtplnxgb0cu204jvhnshj0jf,大航海時代4,1,WIN,
cdg-0505,太閤立志傳3,1999,Windows,0,cmtplnxic0cuq04jvb8z72s9y,太閤立志傳3,1,WIN,
cdg-1643,信長之野望8：烈風傳,1999,Windows,1,,,,,站上沒有
cdg-0216,三國志7,2000,Windows,3,,,,,站上沒有
cdg-0421,大航海時代3：太陽海岸,2000,Windows,0,,,,,站上沒有
cdg-0504,太閤立志傳2,2000,DOS/V、Windows,1,cmtplqqxn0di604jvhajhcszm,太閤立志傳 2,1,DOS、WIN,
cdg-1413,皇室血裔2,2000,Windows,0,cmtplpi180d7e04jv64lh52f3,王國興亡錄,1,,要判
cdg-1413,皇室血裔2,2000,Windows,0,cmu84x4q3008b04ih95xup8yj,ガングリフォンII,3,,要判、名稱含假名
cdg-0217,三國志8,2001,Windows,2,,,,,站上沒有
cdg-0506,太閤立志傳4,2001,Windows,0,,,,,站上沒有
cdg-1644,信長之野望9：嵐世記,2001,Windows,1,,,,,站上沒有
cdg-0223,三國志Battlefield,2002,Windows,1,cmtpn82sw01kl04l6rok1igd6,三國志battlefield,1,WIN,
cdg-1645,信長之野望10：蒼天錄,2002,Windows,1,,,,,站上沒有
cdg-0218,三國志9,2003,Windows,2,,,,,站上沒有
cdg-1646,信長之野望11：天下創世,2003,WinXP,1,,,,,站上沒有
cdg-0219,三國志10,2004,Windows,2,,,,,站上沒有
cdg-0507,太閤立志傳5,2004,Windows,0,,,,,站上沒有
cdg-0220,三國志11,2006,Windows,2,cmtpo2log07nv04l6o8w8xqok,三國志11,2,WIN,
cdg-0221,三國志12,2012,Windows,1,,,,,站上沒有
